idx	x	y	z	Ex_ref	Ey_ref	Ez_ref	Ew_x	Ew_y	Ew_z

0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00024102892670228274	-0.0	-0.0	177.31311468379116	0.0	0.0	2.665278166132607e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.000236159655455772	-0.0	-0.0	177.31311468379116	0.0	0.0	2.7873437496178095e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.0002312903842092612	-0.0	-0.0	177.31311468379116	0.0	0.0	2.9148331979552203e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00022642111296275046	-0.0	-0.0	177.31311468379116	0.0	0.0	3.047979679375997e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00022155184171623968	-0.0	-0.0	177.31311468379116	0.0	0.0	3.1870260266374278e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00021668257046972893	-0.0	-0.0	177.31311468379116	0.0	0.0	3.3322251215861125e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00021181329922321816	-0.0	-0.0	177.31311468379116	0.0	0.0	3.48384029432952e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.0002069440279767074	-0.0	-0.0	177.31311468379116	0.0	0.0	3.6421457375420033e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00020207475673019663	-0.0	-0.0	177.31311468379116	0.0	0.0	3.807426936448619e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00019720548548368588	-0.0	-0.0	177.31311468379116	0.0	0.0	3.979981115048723e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.0001923362142371751	-0.0	-0.0	177.31311468379116	0.0	0.0	4.160117699159925e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00018746694299066435	-0.0	-0.0	177.31311468379116	0.0	0.0	4.348158796882749e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00018259767174415357	-0.0	-0.0	177.31311468379116	0.0	0.0	4.54443969710624e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00017772840049764282	-0.0	-0.0	177.31311468379116	0.0	0.0	4.749309386694788e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00017285912925113207	-0.0	-0.0	177.31311468379116	0.0	0.0	4.963131087019562e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.0001679898580046213	-0.0	-0.0	177.31311468379116	0.0	0.0	5.186282810517272e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00016312058675811052	-0.0	-0.0	177.31311468379116	0.0	0.0	5.419157937983913e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00015825131551159977	-0.0	-0.0	177.31311468379116	0.0	0.0	5.66216581733338e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00015338204426508902	-0.0	-0.0	177.31311468379116	0.0	0.0	5.91573238457442e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00014851277301857824	-0.0	-0.0	177.31311468379116	0.0	0.0	6.180300807785679e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00014364350177206747	-0.0	-0.0	177.31311468379116	0.0	0.0	6.456332154892038e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00013877423052555672	-0.0	-0.0	177.31311468379116	0.0	0.0	6.744306086073525e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00013390495927904597	-0.0	-0.0	177.31311468379116	0.0	0.0	7.04472157166365e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.0001290356880325352	-0.0	-0.0	177.31311468379116	0.0	0.0	7.3580976364230635e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00012416641678602444	-0.0	-0.0	177.31311468379116	0.0	0.0	7.684974131102073e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00011929714553951367	-0.0	-0.0	177.31311468379116	0.0	0.0	8.025912532235551e-06
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	0.0	0.0	-0.00011442787429300291	-0.0	-0.0	177.31311468379116	0.0	0.0	8.381496771144198e-06
